Title,Abstract,Authors,Source,Summary
Suicide and Self-Harm in Intellectual Disability: A Systematic Review and Meta-Analysis.,"Individuals with intellectual disabilities (ID) are disproportionately exposed to several risk factors for suicidality. However, no meta-analysis has yet quantified the relative risk of suicide and self-harm, including suicide attempts, within this population. The aim of this project was to bring together and synthesise the research on suicidality among individuals with ID.","Lindstedt, Rück, Hirvikoski, Hintze, Lundin Kleberg, Grossmann, Wallert, Bjureberg, Flygare",PubMed," Individuals with intellectual disabilities disproportionately exposed to several risk factors for suicidality . No meta-analysis has yet quantified the relative risk of suicide and self-harm, including suicide attempts, within this population ."
A Wireless Photometric Probe to Capture Calcium Activities During Hippocampal Seizures in Freely Moving Mice.,"Exploring the coding mechanisms of the nervous system and their associated functions holds great value in neuroscience research. Specifically, monitoring deep-brain neuronal activities with high specificity and minimal invasiveness is crucial. In this study, the development and application of a wireless photometric probe system is presented to monitor calcium (Ca","Zhao, Chen, Li, Song, Zhang, Tang, Zhang, Cai, Sheng, Zhao, Wang, Li, Yin, Ding, Dai, Liu, Sheng",PubMed, Monitoring deep-brain neuronal activities with high specificity and minimal invasiveness is crucial . The development and application of a wireless photometric probe system is presented to monitor calcium (Ca)
The Role of Emotion in Psychosis Onset and Symptom Persistence: A Systematic Review.,"Emotions have repeatedly been implicated in the development and maintenance of psychosis. However, there is no universally acknowledged theory to account for how emotions influence psychosis. This review, therefore, aims to explore how emotions and emotional coping strategies contribute to the onset and persistence of psychosis symptoms.","Gurnani, Georgiades",PubMed, Emotions have repeatedly been implicated in the development and maintenance of psychosis . There is no universally acknowledged theory to account for how emotions influence psychosis . This review aims to explore how emotions and emotional coping strategies contribute to the onset and persistence of psychosis symptoms .
Simplified and Accurate Approach to Sleep Disorder Prediction Using Body Composition Metrics: A Development and Validation Study.,"Predicting the risk of sleep disorders such as insomnia, obstructive sleep apnea (OSA), and comorbid insomnia and sleep apnea (COMISA) typically requires costly and time-consuming assessments. The SLEEPS algorithm simplifies this process using only nine questions, including body mass index (BMI). However, BMI alone cannot capture differences in body composition, as individuals with the same BMI may have different muscle and fat distribution. This study aims to improve sleep disorder prediction by incorporating body composition metrics. To achieve this, we applied a tree-based machine learning algorithm to a dataset of 3,291 patients, evaluating demographic data, sleep-related questions, and body composition metrics as potential features for the model. The final feature selection was performed using Shapley additive explanations (SHAP) method. The resulting model, I-SLEEPS (InBody-based SimpLE quEstionnairE Predicting Sleep disorders), used a total of 10 features, including skeletal muscle index (SMI) and fat-free mass index (FFMI) instead of BMI, along with the original SLEEPS questionnaire items. I-SLEEPS achieved superior predictive accuracy (AUROC > 0.93 for insomnia, OSA, and COMISA) compared to SLEEPS (AUROC > 0.90). Additionally, our approach significantly enhanced area under the precision-recall curve (AUPRC) values, which is critical for addressing the imbalanced datasets of insomnia and COMISA. Furthermore, our analysis revealed distinct relationships between muscle mass indices (SMI and FFMI) and the risks of insomnia, OSA, and COMISA, providing new insights into the role of body composition in sleep disorders. By leveraging InBody analysis, I-SLEEPS offers a practical, non-invasive alternative to traditional screening methods such as polysomnography.","Cawiding, Bae, Kim, Joo, Kim",PubMed," Study aims to improve sleep disorder prediction by incorporating body composition metrics . Algorithm used a tree-based machine learning algorithm to a dataset of 3,291 patients . The resulting model, I-SLEEPS, used a total of 10 features, including skeletal muscle index (SMI"
Periodic and Aperiodic Alterations of Resting-State EEG in Schizophrenia Spectrum Disorders: Cognitive and Clinical Insights.,"Schizophrenia spectrum disorders (SSD) are marked by cognitive deficits and clinical symptoms linked to disrupted neural oscillations. While changes in spectral power are well documented in SSD, many studies have not clearly separated rhythmic (periodic) from the nonrhythmic (aperiodic) brain activity. This study examined both periodic and aperiodic resting-state EEG components in SSD, recorded from 152 healthy controls and 97 SSD participants. EEG features (periodic power, bandwidth, center frequency; aperiodic exponent and offset) were extracted from global scalp averages and frontoinsular regions, including the dorsal anterior cingulate cortex (dACC), right anterior insula (R-INS), and left anterior insula (L-INS). At the scalp level, SSD individuals exhibited a global increase in theta power, along with a decreased alpha center frequency. Aperiodic activity showed increased exponent and offset in SSD. In frontoinsular regions, increased theta power was observed in the dACC, R-INS, and L-INS, along with lower alpha center frequency in L-INS. No significant differences were found for aperiodic activity in these regions. Increased frontoinsular theta power, especially in the dACC, was associated with worse cognitive performance, particularly global cognition and working memory. These findings highlight the importance of separating periodic and aperiodic EEG activity in SSD, suggesting that periodic alterations, particularly in frontoinsular theta oscillations, may underlie cognitive dysfunction in SSD.","Hasanaj, Jaeger, Karsli, Schulz, Boudriot, Roell, Korman, Kallweit, Dengl, Klimas, Fischer, Hanken, Meisinger, Moussiopoulou, Yakimov, Karch, Hasan, Schmitt, Falkai, Pogarell, Raabe, Wagner, Mortazavi, Keeser",PubMed," Schizophrenia spectrum disorders (SSD) are marked by cognitive deficits and clinical symptoms linked to disrupted neural oscillations . While changes in spectral power are well documented in SSD, many studies have not clearly separated rhythmic (periodic) from nonrhythmic (aperiodic)"
A Whole-Brain Connectome-Wide Signature of Transdiagnostic Depression Severity Across Major Depressive Disorder and Posttraumatic Stress Disorder.,"Depressive symptoms are commonly observed in stress-related psychiatric disorders, such as major depressive disorder (MDD) and posttraumatic stress disorder (PTSD). To date, emerging evidence from behavior and psychology suggests the possibility of underlying neurobiological mechanisms in transdiagnostic depression. This study aims to identify predictive signatures of depression severity across MDD and PTSD using a whole-brain connectivity machine learning analysis based on resting-state functional magnetic resonance imaging (rs-fMRI). Patients with MDD (n = 84) and PTSD (n = 65), all medication-free at the time of enrollment, underwent rs-fMRI scans along with a battery of clinical assessments. Using a multivariate machine learning approach, we applied sparse connectome predictive modeling to identify a functional connectivity signature that predicts individual depression severity, as assessed by Hamilton Depression Rating Scale-17 items. The cross-validated model explained 42% of the variance in depression severity across MDD and PTSD. The identified connectome signature predominantly involved regions in the fronto-limbic circuit (e.g., middle frontal gyrus and temporal pole), subcortical areas (e.g., hippocampal, caudate, and brainstem), and the cerebellum. Our findings highlight diffuse whole-brain dysfunction patterns associated with depressive symptom severity, emphasizing the importance of transdiagnostic research in understanding the neurobiological mechanisms underlying key clinical features across disorders.","Yang, Yuan, Zhang, Xie, Qiu, Balgansuren, Huang, Lui, Gong, Zhang, Zhu",PubMed," Depressive symptoms are commonly observed in stress-related psychiatric disorders, such as major depressive disorder (MDD) and posttraumatic stress disorder (PTSD) To date, emerging evidence suggests the possibility of underlying neurobiological mechanisms in transdiagnostic depression . This study aims to identify"
"Harsh Parenting, Maternal Depression, and Executive Function in Early Childhood.","Executive function (EF), a multimodal construct that captures one's control over cognition and behaviour, is associated with academic achievement and social-emotional competence. Prior research suggests that early childhood experiences and the family context shape EF development. Harsh parenting practices-defined through verbal and psychological aggression-and maternal depression are identified as factors that may inhibit early EF development. We examined the relation between these two parenting factors at child age 30 months and two fundamental EF skills, attention and inhibitory control (IC), measured at 42 months.","Davis, Goodman, Bai, Dodge",PubMed, Executive function (EF) is a multimodal construct that captures one's control over cognition and behaviour . It is associated with academic achievement and social-emotional competence . Harsh parenting practices and maternal depression are identified as factors that may inhibit EF development .
Which Sociodemographic and Pathway to Care Factors Influence the Wait Time for Early Intervention for Psychosis? A Mental Health Electronic Health Records Analysis in South London.,"In 2016, the Access and Waiting Time Standard (AWTS) was introduced in England, UK, outlining that people with first-episode psychosis should receive treatment from an early intervention for psychosis (EIP) service within 2 weeks. We examined sociodemographic, pathways to care (PtC), and clinical factors associated with EIP service wait time.","Wood, Hodgekins, Shetty, Iacoponi, O'Donoghue, Stewart, Oduola",PubMed," Access and Waiting Time Standard (AWTS) was introduced in England, UK, in 2016 . People with first-episode psychosis should receive treatment from an early intervention for psychosis (EIP) service within 2 weeks . We examined sociodemographic, pathways to care ("
"Addressing Heterogeneity in Binge Eating Disorder: A Cluster Analysis Approach Based on Age of Onset, Clinical and Psychopathological Features.",This study investigates clinical heterogeneity in patients with binge eating disorder (BED) and its association with treatment outcomes.,"Camacho-Barcia, Sánchez-Salido, Toro, Granero, Sánchez, Supit, Micali, Giel, Jiménez-Murcia, Zipfel, Fernández-Aranda",PubMed, This study investigates clinical heterogeneity in patients with binge eating disorder (BED) and its association with treatment outcomes .
The 'Reducing Psychosis Risk by Targeting Trauma' Trial: Protocol of a Feasibility Randomised Controlled Trial of Trauma-Focused Cognitive Behavioural Therapy and Eye Movement Desensitisation and Reprocessing Therapy for People With At-Risk Mental States.,"Trauma exposure is pervasive in people with an At Risk Mental State (ARMS) and is associated with adverse clinical and functional outcomes. While promising developments have been made in treating trauma in psychosis, evidence regarding the efficacy of trauma therapies in ARMS individuals is limited. This trial aims to evaluate the feasibility of conducting a future randomised controlled trial (RCT) to determine the efficacy of Eye Movement Desensitisation and Reprocessing (EMDR) and trauma focused cognitive behavioural therapy (TF-CBT) in people with ARMS.","Varese, Cartwright, Larkin, Sandys, Flinn, Newton, Lamonby, Samji, Holden, Bowe, Keane, Keen, Hardy, Malkin, Emsley, Allsopp",PubMed, Trauma exposure is pervasive in people with an At Risk Mental State (ARMS) and associated with adverse clinical and functional outcomes . This trial aims to evaluate the feasibility of conducting a future randomised controlled trial (RCT)
Ultrathin Multi-Doped Molybdenum Oxide Nanodots as a Tunable Selective Biocatalyst.,"The reactive oxygen species (ROS) serve a significant role in cancer therapy due to their oxidative capabilities to modulate cellular functions from homeostasis to apoptosis. While conventional noble metal nanoparticles exhibit superior biocatalytic efficacy in ROS induction, their indistinctive toxicity toward cells and organisms limit their potential for targeted cancer therapy. Here, ultrathin biocompatiable molybdenum oxides (MoO","Zhang, Haque, Ramesan, Afrin, Khan, Ding, Zhou, Ma, Zhang, Ou, Mohiuddin, Haque, Wang, Jannat, Li, Datta, Fox, Li, Jia, Ou",PubMed," The reactive oxygen species (ROS) serve a significant role in cancer therapy due to their oxidative capabilities to modulate cellular functions from homeostasis to apoptosis . While conventional noble metal nanoparticles exhibit superior biocatalytic efficacy in ROS induction, their indistinctive"
"Visual DAT-SPECT Outperforms Semiquantitative Analysis in a ""Pseudo-SWEDD"" Case of Benign Tremulous Parkinsonism.",,"Birreci, Angelini, De Riggi, Aloisio, Martini, Grandolfo, Marsili, Cilia, Espay, Bologna",PubMed,
Modeling cerebral palsy in animals.,"Advancements in the treatment of cerebral palsy depend on animal research. Yet, most animal models have not been fully evaluated for spasticity and dystonia using clinically relevant measures of altered tone or movement patterns, which form the basis for diagnosing people with the condition. Sensory differences and pain are almost never studied in animal models. Complicating factors include the diversity of animals and injuries used to model the condition, the diversity of outcomes after acquired injury, and translating clinical measures into reliable and repeatable measurements tailored to animals, ideally using common data elements. We summarize preclinical models based on acquired injury to the nervous system in cerebral palsy research over the years and provide a comparison of developmental time courses for common laboratory animals. We encourage researchers to coalesce on consistent, reliable measurements for assessing both sensory and motor systems to ensure that animal models reflect meaningful aspects of the condition.","Quinlan, Reedich, Mena Avila, Moline, Genry, Detloff, Katholi, Gaebler-Spira, Aravamuthan",PubMed, Most animal models have not been fully evaluated for spasticity and dystonia using clinically relevant measures of altered tone or movement patterns . Sensory differences and pain are almost never studied in animal models .
Can atogepant be a preventive treatment for cluster headache?-Insights from a case series.,"Cluster headache (CH) is a disabling primary headache disorder with limited therapeutic options. Calcitonin gene-related peptide (CGRP) is known to be involved in CH pathophysiology; however, except for galcanezumab (300 mg) in episodic CH, anti-CGRP monoclonal antibodies did not reduce CH attacks in randomized clinical trials. Atogepant is an oral, small-molecule, CGRP receptor antagonist, which is approved for the preventive treatment of migraine. Here, we describe four case reports of CH (two episodic CH and two chronic CH), unresponsive to previous prophylactic treatments, who responded to daily atogepant (60 mg). Chronic CH cases were refractory to subcutaneous galcanezumab. In one case, a reduction to atogepant (30 mg daily) resulted in recurrence of headache attacks, which subsided on reintroduction of the initial dose. No serious adverse effects were reported. Despite the limited number of cases and the open retrospective design, our case series suggests atogepant as a possible prophylactic treatment for CH. Further research on CGRP signaling in CH and the implementation of well-designed clinical trials are necessary.","Serrão, Sotero, Kaupilla, Martins",PubMed," Cluster headache (CH) is a disabling primary headache disorder with limited therapeutic options . Calcitonin gene-related peptide (CGRP) is known to be involved in CH pathophysiology . Atogepant is an oral, small-molecule, C"
The Sense of Smell (SoS) Atlas: Its Creation and First Application to Investigate COVID-19 Related Anosmia With a Comprehensive Quantitative MRI Protocol.,"The loss of smell (anosmia) has been noted in numerous diseases, including COVID-19. Inflammatory and microstructural alterations are possible underlying mechanisms of anosmia in COVID-19. However, no atlas exists to study olfaction and the associated tissue property changes.","Gaviraghi, Lupi, Grosso, Fusari, Baiguera, Monteverdi, Battiston, Grussu, Kanber, Prados Carrasco, Samson, Makaronidis, Yiannakas, Zandi, Batterham, D'Angelo, Palesi, Gandini Wheeler-Kingshott",PubMed, Inflammatory and microstructural alterations are possible underlying mechanisms of anosmia in COVID-19 . No atlas exists to study olfaction and the associated tissue property changes .
Fundamentals of Gas-Free Calibrated fMRI for Oxidative Metabolic Neuroimaging.,"Brain's high energy demands require abundant production of ATP from glucose oxidation, mandating coupling between neural activity and nutrient supply. Understanding how neural activity augments blood flow (CBF) to support metabolism of glucose (CMR","Hyder, Herman",PubMed," Brain's high energy demands require abundant production of ATP from glucose oxidation, mandating coupling between neural activity and nutrient supply . Neuro activity augments blood flow (CBF) to support metabolism of glucose (CMR)"
Impact of Virtual Reality-Based Serious Games on Cognitive-Motor Rehabilitation for Stroke Patients in Daily Activities: Protocol for a Randomized Trial.,"Stroke is among the most prevalent medical conditions and often leads to persistent complications within the central nervous system. It results in both physical and cognitive impairments that can substantially affect individuals' ability to perform activities of daily living (ADL). Conventional rehabilitation exercises are frequently lengthy, repetitive, and unengaging, which may reduce adherence and limit therapeutic outcomes. Therefore, there is a pressing need to explore innovative approaches that enhance motivation, increase the frequency and duration of exercises, and improve patient satisfaction.","Fatehi, Salahzadeh, Farhoudi, Mohammadi, Mohammadzadeh",PubMed," Stroke is among the most prevalent medical conditions and often leads to persistent complications within the central nervous system . It results in both physical and cognitive impairments that can substantially affect individuals' ability to perform activities of daily living (ADL) Conventional rehabilitation exercises are frequently lengthy, repetitive,"
The mGluR5 agonist CHPG enhances human oligodendrocyte differentiation.,"Previous studies in adult mice indicate that the mGluR5 agonist 2-chloro-5-hydroxyphenyl glycine (CHPG), reduces cuprizone-elicited losses in myelin. This effect is partly mediated by CHPG binding to mGluR5 receptors on reactive astrocytes, triggering the release of brain derived neurotrophic factor (BDNF), which results in an increase in myelin. However, it remains unclear whether CHPG has similar beneficial effects on human oligodendrocytes. To address this issue, we examined effects of CHPG using both cultured human induced pluripotent stem cell (hiPSC)-derived oligodendrocytes and primary human fetal oligodendrocytes. We show that CHPG increases the proportion of MBP","Huang, Geywitz, Bandaru, Glass, Schirmer, Nobuta, Dreyfus",PubMed, Previous studies in adult mice indicate that the mGluR5 agonist 2-chloro-5-hydroxyphenyl glycine (CHPG) reduces cuprizone-elicited losses in myelin . This effect is partly mediated by CHPG binding to m
Scaling-up an mHealth system to deliver financial incentives to improve adherence to antiretroviral therapy in Tanzania.,"Financial incentives are increasingly used to achieve UNAIDS' 95-95-95 goals for ending HIV by 2030. While evidence supports their effectiveness, scaling these interventions remains challenging. This study examines the implementation successes and challenges of a financial incentive intervention in Tanzania, delivered via an mHealth application that provides automated mobile money disbursements, biometric identification, and SMS reminders.","Katabaro, Joseph, Mwenda, Bhattarai, Msasa, Mnyippembe, Maila, Hassan, Kunesh, Sabasaba, Winters, Njau, Hémono, McCoy, Packel",PubMed," Financial incentives are increasingly used to achieve UNAIDS' 95-95-95 goals for ending HIV by 2030 . While evidence supports their effectiveness, scaling these interventions remains challenging . This study examines implementation successes and challenges of a financial incentive intervention in Tanzania ."
Early life adversity and risk for non-communicable health outcomes: challenges and opportunities for a maturing field.,"There is now a growing scientific consensus that the origins of many adult diseases may be attributed to exposure to adversity early in life. Research over the past several decades indicates that many of the most common forms of non-communicable conditions, including both physical and psychiatric disorders, share a common biological foundation involving disruptions to shared biological systems that are likely fundamentally shaped by exposure to early adversity.","Jopling, Nelson",PubMed, There is now a growing scientific consensus that the origins of many adult diseases may be attributed to exposure to adversity early in life . Research over the past several decades indicates that many of the most common forms of non-communicable conditions share a common biological foundation .
